id,brand,movement,case_material,bracelet_material,condition,scope_of_delivery,gender,price,availability,watches_sold
1,Alpina,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,895.0,Available,20
3,Audemars Piguet,Automatic,Titanium,Titanium,Used (Good),Original Box and Papers,Men's watch/Unisex,39825.0,Available,2
9,Paul Picot,Automatic,Steel,Steel,Used (Good),No Box and papers,Men's watch/Unisex,972.0,Available,99
10,Eterna,Manual winding,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,5348.0,Available,318
11,Girard Perregaux,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,13000.0,Available,46
13,Zeppelin,Quartz,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,269.0,Available,2328
15,Formex,Automatic,Carbon,Textile,New,Original Box and Papers,Men's watch/Unisex,1999.0,Available Upon Request,1072
16,Longines,Quartz,Steel,Steel,New,Original Box,Men's watch/Unisex,749.0,Available,318
18,Vostok,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,139.0,Available,804
19,Ingersoll,Automatic,Steel,Calf skin,New,Original Box and Papers,Men's watch/Unisex,351.0,Available,14626
20,Omega,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,5000.0,Available,254
21,RSW,Automatic,Steel,Calf skin,New,Original Box and Papers,Men's watch/Unisex,8127.0,Available,1
23,Formex,Automatic,Carbon,Textile,New,Original Box and Papers,Men's watch/Unisex,1783.0,Available,1072
25,Hamilton,Automatic,Steel,Leather,New,Original Box,Men's watch/Unisex,950.0,Available,34
28,Tudor,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,3200.0,Available,414
29,Glashütte Original,Automatic,Gold/Steel,Textile,New,Original Box and Papers,Men's watch/Unisex,11850.0,Available,1281
31,Ebel,Quartz,Gold/Steel,Gold/Steel,New,Original Box and Papers,Women's watch,1750.0,Available,219
32,Hermès,Quartz,Gold/Steel,Ostrich skin,Used (Good),No Box and papers,Women's watch,962.0,Available,9
34,Concord,Manual winding,White gold,Alligator skin,Used (Good),No Box and papers,Men's watch/Unisex,5999.0,Available,902
35,Porsche Design,Automatic,Titanium,Rubber,New,Original Box and Papers,Men's watch/Unisex,1022.0,Available Upon Request,295
36,Montblanc,Quartz,Steel,Steel,Used (Good),No Box and papers,Women's watch,1000.0,Available,171
37,Oris,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,2150.0,Available,3087
41,Norqain,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,3790.0,Available,1420
43,NOMOS,Manual winding,Steel,Leather,New,No Box and papers,Men's watch/Unisex,1383.0,Available,722
47,F.P.Journe,Manual winding,Tantalum,Crocodile skin,Used (Good),Original Box and Papers,Men's watch/Unisex,85999.0,Available Upon Request,11
48,Garmin,Quartz,Titanium,Titanium,New,Original Box and Papers,Men's watch/Unisex,1399.0,Available Upon Request,6322
49,Venezianico,Automatic,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,610.0,Available,816
50,Franck Muller,Automatic,Rose gold,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,19999.0,Available,20
52,Eberhard & Co.,Automatic,Steel,Leather,Used (Good),Original Box and Papers,Men's watch/Unisex,972.0,Available,663
53,U-Boat,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,975.0,Available,3529
54,Zeppelin,Automatic,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,539.0,Available,2328
57,Swiss Military,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,539.0,Available,125
58,Traser,Quartz,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,594.0,Available,1473
59,Slava,Automatic,Steel,Leather,Used (Good),No Box and papers,Men's watch/Unisex,465.0,Available,78
61,Romain Jerome,Automatic,Steel,Rubber,New,Original Box and Papers,Men's watch/Unisex,5643.0,Available Upon Request,549
63,Maserati,Quartz,Steel,Steel,New,Original Box and Papers,Men's watch/Unisex,248.0,Available,14626
66,Parmigiani Fleurier,Automatic,Steel,Steel,Used (Good),Original Box and Papers,Men's watch/Unisex,16674.0,Available,1
67,Chanel,Automatic,Steel,Rubber,Used (Good),No Box and papers,Men's watch/Unisex,7400.0,Available,467
68,Philip Watch,Quartz,Steel,Leather,New,Original Box and Papers,Men's watch/Unisex,421.0,Available,4
69,Bremont,Automatic,Steel,Textile,Used (Good),Original Box and Papers,Men's watch/Unisex,2917.0,Available,114
70,Chaumet,Quartz,Steel,Steel,New,Original Box,Men's watch/Unisex,3293.0,Available Upon Request,439
71,Piaget,Automatic,Yellow gold,Yellow gold,Used (Good),No Box and papers,Women's watch,15999.0,Available,295
74,Breguet,Automatic,White gold,Crocodile skin,New,Original Box and Papers,Men's watch/Unisex,35000.0,Available,1604
79,Gucci,Quartz,Steel,Rubber,Used (Good),Original Box and Papers,Men's watch/Unisex,390.0,Available,37
