Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
1,Alpina,Quartz,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,895.0,Item is in stock,20.0
2,Lip,,,,Used (Good),"No original box, no original papers",Men's watch/Unisex,701.0,Item is in stock,
3,Audemars Piguet,Automatic,Titanium,Titanium,Used (Very good),"Original box, original papers",Men's watch/Unisex,39825.0,Item is in stock,2.0
4,Bulova,Automatic,,,Used (Fair),"No original box, no original papers",Men's watch/Unisex,385.0,Item is in stock,
5,Philip Watch,Automatic,Yellow gold,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,1718.0,Item is in stock,
6,Romain Jerome,Automatic,Steel,Rubber,Used (Very good),"Original box, original papers",Men's watch/Unisex,4294.0,Item is in stock,
7,Swatch,Quartz,Plastic,Silicon,Like new & unworn,"Original box, original papers",Men's watch/Unisex,163.0,Item is in stock,
8,A. Lange & Söhne,Manual winding,Rose gold,,Used (Very good),"Original box, no original papers",Men's watch/Unisex,16900.0,Item is in stock,1391.0
9,Paul Picot,Automatic,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,972.0,Item is in stock,99.0
10,Eterna,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,5348.0,Item is in stock,318.0
11,Girard Perregaux,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,13000.0,Item is in stock,46.0
12,Sicura,Quartz,,Calf skin,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,497.0,Item is in stock,2998.0
13,Zeppelin,Quartz,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,269.0,Item is in stock,2328.0
14,Casio,,Carbon,Rubber,New,"Original box, original papers",,269.0,Item is in stock,1175.0
15,Formex,Automatic,Carbon,Textile,New,"Original box, original papers",Men's watch/Unisex,1999.0,Item needs to be procured,1072.0
16,Longines,Quartz,Steel,Steel,New,"Original box, no original papers",Men's watch/Unisex,749.0,Item is in stock,318.0
17,Sector,Quartz,Steel,Steel,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,215.0,Item is in stock,
18,Vostok,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,139.0,Item is in stock,804.0
19,Ingersoll,Automatic,Steel,Calf skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,351.0,Item is in stock,14626.0
20,Omega,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,5000.0,Item is in stock,254.0
21,RSW,Automatic,Steel,Calf skin,New,"Original box, original papers",Men's watch/Unisex,8127.0,Item is in stock,1.0
22,Timex,Automatic,Steel,Silicon,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,162.0,Item is in stock,
23,Formex,Automatic,Carbon,Textile,New,"Original box, original papers",Men's watch/Unisex,1783.0,Item is in stock,1072.0
24,Movado,Quartz,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,930.0,Item is in stock,
25,Hamilton,Automatic,Steel,Leather,Like new & unworn,"Original box, no original papers",Men's watch/Unisex,950.0,Item is in stock,34.0
26,Yema,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,,Item is in stock,80.0
27,Mühle Glashütte,Automatic,Steel,Crocodile skin,Like new & unworn,"Original box, original papers",Men's watch/Unisex,3781.0,Item is in stock,
28,Tudor,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,3200.0,Item is in stock,414.0
29,Glashütte Original,Automatic,Gold/Steel,Textile,New,"Original box, original papers",Men's watch/Unisex,11850.0,Item is in stock,1281.0
30,Carl F. Bucherer,Automatic,Gold/Steel,Gold/Steel,Like new & unworn,"Original box, no original papers",,2107.0,Item is in stock,1408.0
31,Ebel,Quartz,Gold/Steel,Gold/Steel,Like new & unworn,"Original box, original papers",Women's watch,1750.0,Item is in stock,219.0
